;;HLAVNÍ MÌSTO PRAHA;;;;;;;;;;;;;;;
CZ010;x;x;x;P R A H A;554782;hlavní mìsto;112;112;49 621;1 357 326;219 012;254 896;2;1;1;;CZ0100
;;STØEDOÈESKÝ KRAJ;;;;;;;;;;;;;;;
CZ020;2101;Benešov;1;Benešov;529303;mìsto;15;2;4 687;16 875;2 669;3 657;2;1;1;;CZ0201
CZ020;2101;Benešov;2;Bukovany;532924;obec;1;1;741;795;155;136;2;1;1;;CZ0201
CZ020;2101;Benešov;3;Bystøice;529451;mìsto;26;10;6 336;4 585;773;880;2;1;-;;CZ0201
