;;HLAVNÍ MĚSTO PRAHA;;;;;;;;;;;;;;;
CZ020;2101;Benešov;50;Vysoký Újezd;513482;obec;2;1;407;192;18;48;-;1;-;;CZ0201
CZ020;2101;Benešov;51;Xaverov;571415;obec;1;1;217;55;5;8;-;-;-;;CZ0201
CZ020;2102;Beroun;1;Bavoryně;534421;obec;5;1;222;422;96;59;2;1;1;;CZ0202
CZ020;2102;Beroun;2;Beroun;531057;město;7;4;3 125;20 809;3 728;3 922;2;1;1;;CZ0202
CZ020;2102;Beroun;3;Broumy;531081;obec;1;1;2 858;988;184;183;2;1;-;;CZ0202
CZ020;2102;Beroun;4;Bubovice;531103;obec;1;1;410;587;138;59;2;1;1;;CZ0202
CZ020;2102;Beroun;5;Bykoš;534145;obec;1;1;407;244;40;50;1;1;-;;CZ0202
CZ020;2102;Beroun;6;Hlásná Třebaň;531171;obec;2;1;408;1 209;269;205;2;1;1;;CZ0202
CZ020;2102;Beroun;7;Hudlice;531227;obec;1;1;2 075;1 255;218;265;2;1;1;;CZ0202
CZ020;2102;Beroun;8;Hýskov;531243;obec;1;1;640;2 142;400;339;2;1;1;;CZ0202
CZ020;2102;Beroun;9;Chodouň;534447;obec;1;1;425;730;132;125;2;1;1;;CZ0202
CZ020;2102;Beroun;10;Chrustenice;533670;obec;1;1;673;1 064;213;152;2;1;1;;CZ0202
CZ020;2102;Beroun;11;Chyňava;531294;obec;5;4;3 794;1 871;271;389;2;1;1;;CZ0202
CZ020;2102;Beroun;12;Karlštejn;531316;městys;1;2;1 208;825;134;184;2;1;1;;CZ0202
CZ020;2102;Beroun;13;Koněprusy;531332;obec;2;2;604;257;41;37;2;-;1;;CZ0202
CZ020;2102;Beroun;14;Korno;533793;obec;1;1;518;120;30;18;-;-;-;;CZ0202
CZ020;2102;Beroun;15;Králův Dvůr;533203;město;7;5;1 524;10 428;2 407;1 341;2;1;1;;CZ0202
CZ020;2102;Beroun;16;Kublov;531375;obec;1;1;628;665;121;145;2;1;-;;CZ0202
CZ020;2102;Beroun;17;Liteň;531456;městys;4;2;1 277;1 227;240;215;2;1;-;;CZ0202
CZ020;2102;Beroun;18;Loděnice;531464;obec;2;1;608;2 100;341;333;2;1;1;;CZ0202
CZ020;2102;Beroun;19;Lužce;534404;obec;1;1;301;137;27;24;2;1;1;;CZ0202
CZ020;2102;Beroun;20;Málkov;534218;obec;1;1;340;109;10;17;-;1;-;;CZ0202
CZ020;2102;Beroun;21;Měňany;531529;obec;2;2;816;309;56;61;-;1;-;;CZ0202
CZ020;2102;Beroun;22;Mezouň;531537;obec;1;1;306;596;100;118;2;1;1;;CZ0202
CZ020;2102;Beroun;23;Mořina;531545;obec;3;2;983;944;174;135;2;1;1;;CZ0202
CZ020;2102;Beroun;24;Mořinka;533912;obec;1;1;702;165;25;38;-;1;1;;CZ0202
CZ020;2102;Beroun;25;Nenačovice;533602;obec;1;1;398;300;52;53;-;-;1;;CZ0202
CZ020;2102;Beroun;26;Nesvačily;534269;obec;1;1;274;178;29;30;-;1;1;;CZ0202
CZ020;2102;Beroun;27;Nižbor;531596;obec;3;3;2 801;2 152;387;407;2;1;1;;CZ0202
CZ020;2102;Beroun;28;Nový Jáchymov;531600;obec;1;1;497;732;123;139;2;1;1;;CZ0202
CZ020;2102;Beroun;29;Otročiněves;531669;obec;1;1;427;536;86;88;2;1;1;;CZ0202
CZ020;2102;Beroun;30;Podbrdy;534285;obec;1;1;378;240;45;47;1;1;1;;CZ0202
CZ020;2102;Beroun;31;Skuhrov;531740;obec;5;2;868;585;114;101;2;1;1;;CZ0202
CZ020;2102;Beroun;32;Srbsko;531758;obec;1;1;656;572;121;112;2;1;1;;CZ0202
CZ020;2102;Beroun;33;Stašov;531766;obec;1;1;233;471;89;87;2;1;1;;CZ0202
CZ020;2102;Beroun;34;Suchomasty;531782;obec;2;1;726;531;92;97;2;1;1;;CZ0202
CZ020;2102;Beroun;35;Svatá;531791;obec;1;1;550;548;105;119;-;1;-;;CZ0202
CZ020;2102;Beroun;36;Svatý Jan pod Skalou;531804;obec;3;1;406;204;42;34;2;1;-;;CZ0202
CZ020;2102;Beroun;37;Svinaře;531812;obec;3;1;747;929;233;123;2;1;1;;CZ0202
CZ020;2102;Beroun;38;Tetín;531839;obec;2;1;1 029;897;147;166;2;1;1;;CZ0202
CZ020;2102;Beroun;39;Tmaň;531855;obec;3;2;1 009;1 250;223;223;2;1;1;;CZ0202
CZ020;2102;Beroun;40;Trubín;533106;obec;1;1;372;546;103;63;1;1;1;;CZ0202
CZ020;2102;Beroun;41;Trubská;531880;obec;1;1;185;200;34;34;2;1;-;;CZ0202
CZ020;2102;Beroun;42;Vinařice;534234;obec;1;1;495;109;23;31;-;-;1;;CZ0202
CZ020;2102;Beroun;43;Vráž;531944;obec;1;1;632;1 255;211;243;2;1;1;;CZ0202
CZ020;2102;Beroun;44;Všeradice;531952;obec;1;1;737;478;102;75;2;1;1;;CZ0202
CZ020;2102;Beroun;45;Vysoký Újezd;531961;obec;3;3;1 156;1 683;476;156;2;1;1;;CZ0202
CZ020;2102;Beroun;46;Zadní Třebaň;531979;obec;1;1;357;983;197;195;2;1;1;;CZ0202
CZ020;2102;Beroun;47;Zdice;532011;město;3;3;1 381;4 154;683;890;2;1;1;;CZ0202
CZ020;2102;Beroun;48;Železná;599417;obec;1;1;401;304;69;36;2;1;1;;CZ0202
CZ020;2103;Brandýs n. Lab.-St.Boleslav;1;Bašť;538051;obec;1;1;781;3 007;812;249;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;2;Borek;534684;obec;1;1;299;312;44;65;2;-;-;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;3;Bořanovice;538086;obec;2;1;535;948;174;154;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;4;"Brandýs nad Labem
     -Stará Boleslav";538094;město;3;3;2 265;19 767;3 916;3 417;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;5;Brázdim;538108;obec;3;1;548;706;110;137;2;1;1;;CZ0209
CZ020;2103;Brandýs n. Lab.-St.Boleslav;6;Čelákovice;538132;město;4;3;1 588;12 444;2 212;2 328;2;1;1;;CZ0209
